player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100001,Gardnar,Mulloy,R,19131122,USA,185,Q54544
100002,Pancho,Segura,R,19210620,ECU,168,Q54581
100003,Frank,Sedgman,R,19271002,AUS,180,Q962049
100004,Giuseppe,Merlo,R,19271011,ITA,,Q1258752
100005,Richard,Gonzalez,R,19280509,USA,188,Q53554
100006,Grant,Golden,R,19290821,USA,175,Q3115390
100007,Abe,Segal,L,19301023,RSA,,Q1258527
100008,Kurt,Nielsen,R,19301119,DEN,,Q552261
100009,Istvan,Gulyas,R,19311014,HUN,,Q51066
100010,Luis,Ayala,R,19320918,CHI,170,Q1275397
100011,Torben,Ulrich,L,19281004,DEN,180,Q785404
100012,Nicola,Pietrangeli,R,19330911,ITA,178,Q709909
100013,Neale,Fraser,L,19331003,AUS,185,Q715173
100014,Trevor,Fancutt,R,19340714,RSA,,Q3538577
100015,Sammy,Giammalva,R,19340801,USA,180,Q963700
100016,Ken,Rosewall,R,19341102,AUS,175,Q312728
100017,Mal,Anderson,R,19350303,AUS,,Q963687
100018,Barry,Mackay,R,19350831,USA,190,Q1258939
100019,Wieslaw,Gasiorek,R,19360113,POL,,Q1258736
100020,Alejandro,Olmedo,R,19360324,PER,178,Q734544
100021,Ashley,Cooper,R,19360915,AUS,178,Q712208
100022,Roy,Emerson,R,19361103,AUS,183,Q312545
100023,Ramanathan,Krishnan,R,19370411,IND,,Q1559952
100024,Jan Erik,Lundquist,R,19370414,SWE,191,Q1341605
100025,Barry,Phillips Moore,R,19370709,AUS,173,Q1563886
100026,Andres,Gimeno,R,19370803,ESP,185,Q315958
100027,Gene,Scott,R,19371228,USA,185,Q1282493
100028,Manuel,Santana,R,19380510,ESP,170,Q445602
100029,Rod,Laver,L,19380809,AUS,173,Q105550
100030,Fred,Stolle,R,19381008,AUS,190,Q54671
100031,Dimitri,Sturdza,R,19381110,SUI,,Q20431255
100032,Patricio,Rodriguez Chi,R,19381220,CHI,188,Q7145979
100033,Wilhelm,Bungert,R,19390401,GER,188,Q77579
100034,Christian,Kuhnke,L,19390413,GER,,Q461558
100035,Ion,Tiriac,R,19390509,ROU,185,Q924245
100036,Rudy,Hernando,R,19390610,USA,,
100037,Nikola,Pilic,L,19390827,CRO,191,Q452365
100038,Jaime,Pinto Bravo,R,19391009,CHI,178,Q18390167
100039,Boro,Jovanovic,R,19391021,CRO,,Q1259703
100040,Bob,Hewitt,R,19400112,RSA,190,Q52453
100041,Ned,Neely,R,19400114,USA,,
100042,Ryoichi,Mori,R,19400114,JPN,,
100043,Zdenek,Slizek,R,19400219,CZE,,
100044,Sergei,Likhachev,R,19400320,RUS,,Q3479599
100045,John,Paish,L,19400323,GBR,,Q13512828
100046,Larry,Nagler,R,19400701,USA,,
100047,Bob,Carmichael,R,19400704,AUS,183,Q1565064
100048,Earl Butch,Buchholz,R,19400916,USA,188,Q195386
100049,Jim,Mcmanus,L,19400916,USA,175,Q12957721
100050,Martin,Mulligan,R,19401018,AUS,,Q1291938
